region,round,team1,seed1,score1,team2,seed2,score2,winner,year
East,Second Round,Minnesota,11,80,Siena,14,67,Minnesota,1989
East,Second Round,West Virginia,7,63,Duke,2,70,Duke,1989
East,Sweet Sixteen,Georgetown,1,69,NC State,5,61,Georgetown,1989
East,Sweet Sixteen,Minnesota,11,70,Duke,2,87,Duke,1989
East,Elite Eight,Georgetown,1,77,Duke,2,85,Duke,1989
Midwest,First Round,Illinois,1,77,McNeese State,16,71,Illinois,1989
Midwest,First Round,Pitt,8,64,Ball State,9,68,Ball State,1989
Midwest,First Round,Arkansas,5,120,Loyola Marymount,12,101,Arkansas,1989
Midwest,First Round,Louisville,4,76,Little Rock,13,71,Louisville,1989
Midwest,First Round,Georgia Tech,6,70,Texas,11,76,Texas,1989
Midwest,First Round,Missouri,3,85,Creighton,14,69,Missouri,1989
Midwest,First Round,Florida,7,46,Colorado State,10,68,Colorado State,1989
Midwest,First Round,Syracuse,2,104,Bucknell,15,81,Syracuse,1989
Midwest,Second Round,Illinois,1,72,Ball State,9,60,Illinois,1989
Midwest,Second Round,Arkansas,5,84,Louisville,4,93,Louisville,1989
Midwest,Second Round,Texas,11,89,Missouri,3,108,Missouri,1989
Midwest,Second Round,Colorado State,10,50,Syracuse,2,65,Syracuse,1989
Midwest,Sweet Sixteen,Illinois,1,83,Louisville,4,69,Illinois,1989
Midwest,Sweet Sixteen,Missouri,3,80,Syracuse,2,83,Syracuse,1989
Midwest,Elite Eight,Illinois,1,89,Syracuse,2,86,Illinois,1989
West,First Round,Arizona,1,94,Robert Morris,16,60,Arizona,1989
West,First Round,Saint Mary's,8,70,Clemson,9,83,Clemson,1989
West,First Round,Memphis,5,63,DePaul,12,66,DePaul,1989
West,First Round,UNLV,4,68,Idaho,13,56,UNLV,1989
West,First Round,Oregon State,6,90,Evansville,11,94,Evansville,1989
West,First Round,Seton Hall,3,60,Missouri State,14,51,Seton Hall,1989
West,First Round,UTEP,7,85,LSU,10,74,UTEP,1989
West,First Round,Indiana,2,99,George Mason,15,85,Indiana,1989
West,Second Round,Arizona,1,94,Clemson,9,68,Arizona,1989
West,Second Round,DePaul,12,70,UNLV,4,85,UNLV,1989
West,Second Round,Evansville,11,73,Seton Hall,3,87,Seton Hall,1989
West,Second Round,UTEP,7,69,Indiana,2,92,Indiana,1989
West,Sweet Sixteen,Arizona,1,67,UNLV,4,68,UNLV,1989
West,Sweet Sixteen,Seton Hall,3,78,Indiana,2,65,Seton Hall,1989
West,Elite Eight,UNLV,4,61,Seton Hall,3,84,Seton Hall,1989
National,Final Four,Michigan,3,83,Illinois,1,81,Michigan,1989
National,Final Four,Duke,2,78,Seton Hall,3,95,Seton Hall,1989
National,Championship,Michigan,3,80,Seton Hall,3,79,Michigan,1989
East,First Round,Temple,1,87,Lehigh,16,73,Temple,1988
East,First Round,Georgetown,8,66,LSU,9,63,Georgetown,1988
East,First Round,Georgia Tech,5,90,Iowa State,12,78,Georgia Tech,1988
East,First Round,Indiana,4,69,Richmond,13,72,Richmond,1988
East,First Round,Missouri,6,80,Rhode Island,11,87,Rhode Island,1988
East,First Round,Syracuse,3,69,North Carolina A&T,14,55,Syracuse,1988
East,First Round,SMU,7,83,Notre Dame,10,75,SMU,1988
East,First Round,Duke,2,85,Boston University,15,69,Duke,1988
East,Second Round,Temple,1,74,Georgetown,8,53,Temple,1988
East,Second Round,Georgia Tech,5,55,Richmond,13,59,Richmond,1988
East,Second Round,Rhode Island,11,97,Syracuse,3,94,Rhode Island,1988
East,Second Round,SMU,7,79,Duke,2,94,Duke,1988
East,Sweet Sixteen,Temple,1,69,Richmond,13,47,Temple,1988
East,Sweet Sixteen,Rhode Island,11,72,Duke,2,73,Duke,1988
East,Elite Eight,Temple,1,53,Duke,2,63,Duke,1988
Midwest,First Round,Purdue,1,94,FDU,16,79,Purdue,1988
Midwest,First Round,Baylor,8,60,Memphis,9,75,Memphis,1988
Midwest,First Round,DePaul,5,83,Wichita State,12,62,DePaul,1988
Midwest,First Round,Kansas State,4,66,La Salle,13,53,Kansas State,1988
Midwest,First Round,Kansas,6,85,Xavier,11,72,Kansas,1988
Midwest,First Round,NC State,3,75,Murray State,14,78,Murray State,1988
Midwest,First Round,Vanderbilt,7,80,Utah State,10,77,Vanderbilt,1988
Midwest,First Round,Pitt,2,108,Eastern Michigan,15,90,Pitt,1988
Midwest,Second Round,Purdue,1,100,Memphis,9,73,Purdue,1988
Midwest,Second Round,DePaul,5,58,Kansas State,4,66,Kansas State,1988
Midwest,Second Round,Kansas,6,61,Murray State,14,58,Kansas,1988
Midwest,Second Round,Vanderbilt,7,80,Pitt,2,74,Vanderbilt,1988
Midwest,Sweet Sixteen,Purdue,1,70,Kansas State,4,73,Kansas State,1988
Midwest,Sweet Sixteen,Kansas,6,77,Vanderbilt,7,64,Kansas,1988
Midwest,Elite Eight,Kansas State,4,58,Kansas,6,71,Kansas,1988
West,First Round,Arizona,1,90,Cornell,16,50,Arizona,1988
West,First Round,Seton Hall,8,80,UTEP,9,64,Seton Hall,1988
West,First Round,Iowa,5,102,Florida State,12,98,Iowa,1988
West,First Round,UNLV,4,54,Missouri State,13,50,UNLV,1988
West,First Round,Florida,6,62,St. John's (NY),11,59,Florida,1988
West,First Round,Michigan,3,63,Boise State,14,58,Michigan,1988
West,First Round,Wyoming,7,115,Loyola Marymount,10,119,Loyola Marymount,1988
West,First Round,UNC,2,83,North Texas,15,65,UNC,1988
West,Second Round,Arizona,1,84,Seton Hall,8,55,Arizona,1988
West,Second Round,Iowa,5,104,UNLV,4,86,Iowa,1988
West,Second Round,Florida,6,85,Michigan,3,108,Michigan,1988
West,Second Round,Loyola Marymount,10,97,UNC,2,123,UNC,1988
West,Sweet Sixteen,Arizona,1,99,Iowa,5,79,Arizona,1988
West,Sweet Sixteen,Michigan,3,69,UNC,2,78,UNC,1988
West,Elite Eight,Arizona,1,70,UNC,2,52,Arizona,1988
National,Final Four,Kansas,6,66,Duke,2,59,Kansas,1988
National,Final Four,Arizona,1,78,Oklahoma,1,86,Oklahoma,1988
National,Championship,Kansas,6,83,Oklahoma,1,79,Kansas,1988
East,First Round,UNC,1,113,Penn,16,82,UNC,1987
East,First Round,Navy,8,82,Michigan,9,97,Michigan,1987
East,First Round,Notre Dame,5,84,Middle Tennessee,12,71,Notre Dame,1987
East,First Round,TCU,4,76,Marshall,13,60,TCU,1987
East,First Round,Florida,6,82,NC State,11,70,Florida,1987
East,First Round,Purdue,3,104,Northeastern,14,95,Purdue,1987
East,First Round,West Virginia,7,62,Western Kentucky,10,64,Western Kentucky,1987
East,First Round,Syracuse,2,79,Georgia Southern,15,73,Syracuse,1987
East,Second Round,UNC,1,109,Michigan,9,97,UNC,1987
East,Second Round,Notre Dame,5,58,TCU,4,57,Notre Dame,1987
East,Second Round,Florida,6,85,Purdue,3,66,Florida,1987
East,Second Round,Western Kentucky,10,86,Syracuse,2,104,Syracuse,1987
East,Sweet Sixteen,UNC,1,74,Notre Dame,5,68,UNC,1987
East,Sweet Sixteen,Florida,6,81,Syracuse,2,87,Syracuse,1987
East,Elite Eight,UNC,1,75,Syracuse,2,79,Syracuse,1987
Midwest,First Round,Indiana,1,92,Fairfield,16,58,Indiana,1987
Midwest,First Round,Auburn,8,62,San Diego,9,61,Auburn,1987
Midwest,First Round,Duke,5,58,Texas A&M,12,51,Duke,1987
Midwest,First Round,Missouri,4,69,Xavier,13,70,Xavier,1987
Midwest,First Round,St. John's (NY),6,57,Wichita State,11,55,St. John's (NY),1987
Midwest,First Round,DePaul,3,76,Louisiana Tech,14,62,DePaul,1987
Midwest,First Round,Georgia Tech,7,79,LSU,10,85,LSU,1987
Midwest,First Round,Temple,2,75,Southern,15,56,Temple,1987
Midwest,Second Round,Indiana,1,107,Auburn,8,90,Indiana,1987
Midwest,Second Round,Duke,5,65,Xavier,13,60,Duke,1987
Midwest,Second Round,St. John's (NY),6,75,DePaul,3,83,DePaul,1987
Midwest,Second Round,LSU,10,72,Temple,2,62,LSU,1987
Midwest,Sweet Sixteen,Indiana,1,88,Duke,5,82,Indiana,1987
Midwest,Sweet Sixteen,DePaul,3,58,LSU,10,63,LSU,1987
Midwest,Elite Eight,Indiana,1,77,LSU,10,76,Indiana,1987
West,First Round,UNLV,1,95,Idaho State,16,70,UNLV,1987
West,First Round,Georgia,8,79,Kansas State,9,82,Kansas State,1987
West,First Round,Virginia,5,60,Wyoming,12,64,Wyoming,1987
West,First Round,UCLA,4,92,Central Michigan,13,73,UCLA,1987
West,First Round,Oklahoma,6,74,Tulsa,11,69,Oklahoma,1987
West,First Round,Pitt,3,93,Marist,14,68,Pitt,1987
West,First Round,UTEP,7,98,Arizona,10,91,UTEP,1987
West,First Round,Iowa,2,99,Santa Clara,15,76,Iowa,1987
West,Second Round,UNLV,1,80,Kansas State,9,61,UNLV,1987
West,Second Round,Wyoming,12,78,UCLA,4,68,Wyoming,1987
West,Second Round,Oklahoma,6,96,Pitt,3,93,Oklahoma,1987
West,Second Round,UTEP,7,82,Iowa,2,84,Iowa,1987
West,Sweet Sixteen,UNLV,1,92,Wyoming,12,78,UNLV,1987
West,Sweet Sixteen,Oklahoma,6,91,Iowa,2,93,Iowa,1987
West,Elite Eight,UNLV,1,84,Iowa,2,81,UNLV,1987
National,Final Four,Indiana,1,97,UNLV,1,93,Indiana,1987
National,Final Four,Providence,6,63,Syracuse,2,77,Syracuse,1987
National,Championship,Indiana,1,74,Syracuse,2,73,Indiana,1987
East,First Round,Duke,1,85,Mississippi Valley State,16,78,Duke,1986
East,First Round,Old Dominion,8,72,West Virginia,9,64,Old Dominion,1986
East,First Round,Virginia,5,68,DePaul,12,72,DePaul,1986
East,First Round,Oklahoma,4,80,Northeastern,13,74,Oklahoma,1986
East,First Round,St. Joseph's,6,60,Richmond,11,59,St. Joseph's,1986
East,First Round,Indiana,3,79,Cleveland State,14,83,Cleveland State,1986
East,First Round,Navy,7,87,Tulsa,10,68,Navy,1986
East,First Round,Syracuse,2,101,Brown,15,52,Syracuse,1986
East,Second Round,Duke,1,89,Old Dominion,8,61,Duke,1986
East,Second Round,DePaul,12,74,Oklahoma,4,69,DePaul,1986
East,Second Round,St. Joseph's,6,69,Cleveland State,14,75,Cleveland State,1986
East,Second Round,Navy,7,97,Syracuse,2,85,Navy,1986
East,Sweet Sixteen,Duke,1,74,DePaul,12,67,Duke,1986
East,Sweet Sixteen,Cleveland State,14,70,Navy,7,71,Navy,1986
East,Elite Eight,Duke,1,71,Navy,7,50,Duke,1986
Midwest,First Round,Kansas,1,71,North Carolina A&T,16,46,Kansas,1986
Midwest,First Round,Jacksonville,8,50,Temple,9,61,Temple,1986
Midwest,First Round,Michigan State,5,72,Washington,12,70,Michigan State,1986
Midwest,First Round,Georgetown,4,70,Texas Tech,13,64,Georgetown,1986
Midwest,First Round,NC State,6,66,Iowa,11,64,NC State,1986
Midwest,First Round,Notre Dame,3,83,Little Rock,14,90,Little Rock,1986
Midwest,First Round,Iowa State,7,81,Miami (OH),10,79,Iowa State,1986
Midwest,First Round,Michigan,2,70,Akron,15,64,Michigan,1986
Midwest,Second Round,Kansas,1,65,Temple,9,43,Kansas,1986
Midwest,Second Round,Michigan State,5,80,Georgetown,4,68,Michigan State,1986
Midwest,Second Round,NC State,6,80,Little Rock,14,66,NC State,1986
Midwest,Second Round,Iowa State,7,72,Michigan,2,69,Iowa State,1986
Midwest,Sweet Sixteen,Kansas,1,96,Michigan State,5,86,Kansas,1986
Midwest,Sweet Sixteen,NC State,6,70,Iowa State,7,66,NC State,1986
Midwest,Elite Eight,Kansas,1,75,NC State,6,67,Kansas,1986
West,First Round,St. John's (NY),1,83,Montana State,16,74,St. John's (NY),1986
West,First Round,Auburn,8,73,Arizona,9,63,Auburn,1986
West,First Round,Maryland,5,69,Pepperdine,12,64,Maryland,1986
West,First Round,UNLV,4,74,Louisiana-Monroe,13,51,UNLV,1986
West,First Round,UAB,6,66,Missouri,11,64,UAB,1986
West,First Round,UNC,3,84,Utah,14,72,UNC,1986
West,First Round,Bradley,7,83,UTEP,10,65,Bradley,1986
West,First Round,Louisville,2,93,Drexel,15,73,Louisville,1986
West,Second Round,St. John's (NY),1,65,Auburn,8,81,Auburn,1986
West,Second Round,Maryland,5,64,UNLV,4,70,UNLV,1986
West,Second Round,UAB,6,59,UNC,3,77,UNC,1986
West,Second Round,Bradley,7,68,Louisville,2,82,Louisville,1986
West,Sweet Sixteen,Auburn,8,70,UNLV,4,63,Auburn,1986
West,Sweet Sixteen,UNC,3,79,Louisville,2,94,Louisville,1986
West,Elite Eight,Auburn,8,76,Louisville,2,84,Louisville,1986
National,Final Four,Louisville,2,88,LSU,11,77,Louisville,1986
National,Final Four,Kansas,1,67,Duke,1,71,Duke,1986
National,Championship,Louisville,2,72,Duke,1,69,Louisville,1986
East,First Round,Georgetown,1,68,Lehigh,16,43,Georgetown,1985
East,First Round,Temple,8,60,Virginia Tech,9,57,Temple,1985
East,First Round,SMU,5,85,Old Dominion,12,68,SMU,1985
East,First Round,Loyola (IL),4,59,Iona,13,58,Loyola (IL),1985
East,First Round,Georgia,6,67,Wichita State,11,59,Georgia,1985
East,First Round,Illinois,3,76,Northeastern,14,57,Illinois,1985
East,First Round,Syracuse,7,70,DePaul,10,65,Syracuse,1985
East,First Round,Georgia Tech,2,65,Mercer,15,58,Georgia Tech,1985
East,Second Round,Georgetown,1,63,Temple,8,46,Georgetown,1985
East,Second Round,SMU,5,57,Loyola (IL),4,70,Loyola (IL),1985
East,Second Round,Georgia,6,58,Illinois,3,74,Illinois,1985
East,Second Round,Syracuse,7,53,Georgia Tech,2,70,Georgia Tech,1985
East,Sweet Sixteen,Georgetown,1,65,Loyola (IL),4,53,Georgetown,1985
East,Sweet Sixteen,Illinois,3,53,Georgia Tech,2,61,Georgia Tech,1985
East,Elite Eight,Georgetown,1,60,Georgia Tech,2,54,Georgetown,1985
Midwest,First Round,Oklahoma,1,96,North Carolina A&T,16,83,Oklahoma,1985
Midwest,First Round,USC,8,55,Illinois State,9,58,Illinois State,1985
Midwest,First Round,Louisiana Tech,5,78,Pitt,12,54,Louisiana Tech,1985
Midwest,First Round,Ohio State,4,75,Iowa State,13,64,Ohio State,1985
Midwest,First Round,Texas Tech,6,53,Boston College,11,55,Boston College,1985
Midwest,First Round,Duke,3,75,Pepperdine,14,62,Duke,1985
Midwest,First Round,UAB,7,70,Michigan State,10,68,UAB,1985
Midwest,First Round,Memphis,2,67,Penn,15,55,Memphis,1985
Midwest,Second Round,Oklahoma,1,75,Illinois State,9,69,Oklahoma,1985
Midwest,Second Round,Louisiana Tech,5,79,Ohio State,4,67,Louisiana Tech,1985
Midwest,Second Round,Boston College,11,74,Duke,3,73,Boston College,1985
Midwest,Second Round,UAB,7,66,Memphis,2,67,Memphis,1985
Midwest,Sweet Sixteen,Oklahoma,1,86,Louisiana Tech,5,84,Oklahoma,1985
Midwest,Sweet Sixteen,Boston College,11,57,Memphis,2,59,Memphis,1985
Midwest,Elite Eight,Oklahoma,1,61,Memphis,2,63,Memphis,1985
West,First Round,St. John's (NY),1,83,Southern,16,59,St. John's (NY),1985
West,First Round,Iowa,8,54,Arkansas,9,63,Arkansas,1985
West,First Round,Washington,5,58,Kentucky,12,66,Kentucky,1985
West,First Round,UNLV,4,85,San Diego State,13,80,UNLV,1985
West,First Round,Tulsa,6,75,UTEP,11,79,UTEP,1985
West,First Round,NC State,3,65,Nevada,14,56,NC State,1985
West,First Round,Alabama,7,50,Arizona,10,41,Alabama,1985
West,First Round,VCU,2,81,Marshall,15,65,VCU,1985
West,Second Round,St. John's (NY),1,68,Arkansas,9,65,St. John's (NY),1985
West,Second Round,Kentucky,12,64,UNLV,4,61,Kentucky,1985
West,Second Round,UTEP,11,73,NC State,3,86,NC State,1985
West,Second Round,Alabama,7,63,VCU,2,59,Alabama,1985
West,Sweet Sixteen,St. John's (NY),1,86,Kentucky,12,70,St. John's (NY),1985
West,Sweet Sixteen,NC State,3,61,Alabama,7,55,NC State,1985
West,Elite Eight,St. John's (NY),1,69,NC State,3,60,St. John's (NY),1985
National,Final Four,Villanova,8,52,Memphis,2,45,Villanova,1985
National,Final Four,St. John's (NY),1,59,Georgetown,1,77,Georgetown,1985
National,Championship,Villanova,8,66,Georgetown,1,64,Villanova,1985
