Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Arizona,Pac-10,,29,4,84.5,66.9,17.61,,10.26,,13.94,13.98,27.92,,,
2,Michigan,Big Ten,,30,7,91.7,74.8,16.92,,12.06,,19.84,7.79,27.63,,,
3,Duke,ACC,,28,8,86.5,69.8,16.75,,8.20,,14.27,10.68,24.95,,,
4,Illinois,Big Ten,,31,5,86.4,73.6,12.78,,12.42,,16.18,8.49,24.68,,,
5,Oklahoma,Big 8,,30,6,102.2,88.5,13.69,,10.25,,27.40,-3.45,23.95,,,
6,North Carolina,ACC,,29,8,90.0,79.7,10.32,,12.41,,19.46,3.27,22.73,,,
7,Syracuse,Big East,,30,8,89.7,76.1,13.66,,9.23,,18.36,3.95,22.31,,,
8,Seton Hall,Big East,,31,7,81.8,69.2,12.53,,9.16,,11.19,9.72,20.91,,,
9,Missouri,Big 8,,29,8,88.0,76.8,11.16,,10.49,,13.65,7.15,20.80,,,
10,Georgetown,Big East,,29,5,80.0,65.4,14.56,,10.36,,4.94,15.82,20.76,,,
11,Indiana,Big Ten,,27,8,78.5,71.1,7.43,,12.84,,9.01,11.25,20.27,,,
12,Stanford,Pac-10,,26,7,76.3,65.0,11.36,,8.67,,5.81,14.20,20.00,,,
13,Iowa,Big Ten,,23,10,89.6,81.2,8.36,,9.71,,18.72,0.28,18.99,,,
14,NC State,ACC,,22,9,84.5,74.0,10.52,,7.16,,12.37,5.30,17.67,,,
15,Louisville,Metro,,24,9,82.2,74.0,8.27,,9.28,,9.49,8.10,17.59,,,
16,Nevada-Las Vegas,Big West,,29,8,85.3,74.5,10.76,,6.66,,13.24,4.17,17.42,,,
17,Arkansas,SWC,,25,7,89.7,75.4,14.25,,2.76,,14.14,3.12,17.26,,,
18,Oregon State,Pac-10,,22,8,77.1,69.5,7.67,,8.60,,6.16,10.11,16.27,,,
19,Providence,Big East,,18,11,85.3,74.8,10.52,,5.82,,12.40,3.87,16.27,,,
20,Purdue,Big Ten,,15,16,73.4,69.7,3.68,,12.50,,5.06,11.18,16.24,,,
21,Ohio State,Big Ten,,19,15,80.0,75.9,4.15,,11.85,,10.81,5.34,16.15,,,
22,Kansas,Big 8,,19,12,89.0,78.9,10.10,,8.55,,14.88,1.07,15.95,,,
23,Saint Mary's (CA),WCAC,,25,5,76.1,57.6,18.50,,-1.02,,-2.94,18.64,15.70,,,
24,Virginia,ACC,,22,11,81.9,78.0,3.97,,11.17,,9.36,6.02,15.38,,,
25,Florida State,Metro,,22,8,91.3,80.7,10.57,,4.19,,16.19,-1.07,15.12,,,
26,Georgia Tech,ACC,,20,12,80.2,74.2,6.00,,8.19,,7.15,7.04,14.19,,,
27,Wisconsin,Big Ten,,18,12,70.0,64.7,5.30,,11.23,,-1.62,15.60,13.98,,,
28,UCLA,Pac-10,,21,10,81.2,77.0,4.19,,9.51,,9.54,4.36,13.90,,,
