Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
128,Montana,Big Sky,,18,11,76.7,71.9,4.79,,-1.05,,2.39,-2.33,0.07,,,
129,Davidson,Southern,,20,10,76.1,68.6,7.43,,-5.31,,0.34,-0.54,-0.20,,,
130,Pennsylvania,Ivy,,13,14,78.9,79.3,-0.41,,0.08,,5.11,-5.44,-0.33,,,
131,South Florida,Sun Belt,,8,20,65.1,68.8,-3.71,,4.30,,-7.42,7.07,-0.35,,,
132,Eastern Michigan,MAC,,14,15,76.8,71.8,4.97,,-1.95,,1.94,-2.33,-0.39,,,
133,Saint Peter's,MAAC,,21,8,67.7,62.4,5.24,,-4.64,,-7.02,6.63,-0.39,,,
134,Southern Illinois,MVC,,12,17,74.4,77.9,-3.52,,3.54,,6.54,-7.15,-0.61,,,
135,Connecticut,Big East,,9,19,62.1,68.6,-6.46,,5.84,,-7.01,6.39,-0.62,,,
136,North Carolina A&T,MEAC,,24,6,74.6,63.1,11.50,,-12.20,,-3.24,2.58,-0.66,,,
137,Saint Mary's (CA),WCAC,,17,13,61.5,58.9,2.63,,0.26,,-14.16,13.41,-0.74,,,
138,James Madison,CAA,,20,10,75.5,73.6,1.93,,-1.84,,3.81,-4.62,-0.81,,,
139,Nevada,Big Sky,,15,15,80.4,82.2,-1.80,,1.70,,7.60,-8.49,-0.89,,,
140,Mississippi State,SEC,,7,21,57.9,65.5,-7.54,,10.78,,-12.50,11.53,-0.97,,,
141,Evansville,MW Coll,,16,12,70.1,70.6,-0.50,,-0.38,,-2.54,1.53,-1.01,,,
142,Virginia Tech,Metro,,10,18,72.6,76.1,-3.46,,4.13,,1.55,-2.56,-1.02,,,
143,North Texas,Southland,,11,17,80.0,78.5,1.46,,0.24,,8.15,-9.27,-1.12,,,
144,Cincinnati,Metro,,12,16,67.9,70.3,-2.39,,2.75,,-3.77,2.64,-1.13,,,
145,Creighton,MVC,,9,19,66.6,72.5,-5.89,,5.44,,-1.82,0.68,-1.14,,,
146,Idaho State,Big Sky,,15,16,68.7,67.2,1.52,,0.37,,-5.36,4.19,-1.17,,,
147,Stetson,TAAC,,18,13,72.5,71.5,1.00,,-1.86,,-2.74,1.54,-1.19,,,
148,Chattanooga,Southern,,21,8,74.7,69.6,5.14,,-6.05,,-0.36,-1.00,-1.36,,,
149,Colorado State,WAC,,13,16,66.3,69.7,-3.38,,2.95,,-5.94,4.58,-1.36,,,
150,San Francisco,WCAC,,16,12,72.6,71.3,1.29,,0.00,,-0.66,-0.80,-1.45,,,
151,Washington State,Pac-10,,10,18,65.3,71.0,-5.64,,4.15,,-4.60,3.13,-1.46,,,
